country code,place name,admin code1,admin name1,Latitude,Longitude,,,Nom_fr
CA,Halifax,NS,Nova Scotia,44.648757,-63.601876,,,Halifax
CA,Dartmouth,NS,Nova Scotia,44.672142,-63.562168,,,Dartmouth
CA,Charlottetown,PE,Prince Edward Island,46.242961,-63.126519,,,Charlottetown
CA,Sydney,NS,Nova Scotia,46.126469,-60.176689,,,Sydney
CA,Glace Bay,NS,Nova Scotia,46.192901,-59.962389,,,Glace Bay
CA,Bedford,NS,Nova Scotia,44.733924,-63.653377,,,Bedford
CA,Summerside,PE,Prince Edward Island,46.393458,-63.789341,,,Summerside
CA,Amherst,NS,Nova Scotia,45.830781,-64.209807,,,Amherst
CA,New Glasgow,NS,Nova Scotia,45.587794,-62.642169,,,New Glasgow
CA,Eastern Passage,NS,Nova Scotia,44.615441,-63.480148,,,Eastern Passage
CA,Bridgewater,NS,Nova Scotia,44.375475,-64.522476,,,Bridgewater
CA,Yarmouth,NS,Nova Scotia,43.83567,-66.120048,,,Yarmouth
CA,New Waterford,NS,Nova Scotia,46.247297,-60.08167,,,New Waterford
CA,North Sydney,NS,Nova Scotia,46.204423,-60.260953,,,North Sydney
CA,Bible Hill,NS,Nova Scotia,45.377819,-63.251466,,,Bible Hill
CA,Kentville,NS,Nova Scotia,45.086887,-64.489193,,,Kentville
CA,Lower Sackville,NS,Nova Scotia,44.76279,-63.667137,,,Lower Sackville
CA,Fall River,NS,Nova Scotia,44.821059,-63.611263,,,Fall River
CA,Stellarton,NS,Nova Scotia,45.556695,-62.663698,,,Stellarton
CA,Antigonish,NS,Nova Scotia,45.623888,-61.994489,,,Antigonish
CA,Greenwood,NS,Nova Scotia,44.968348,-64.932953,,,Greenwood
CA,New Minas,NS,Nova Scotia,45.067351,-64.457023,,,New Minas
CA,Springhill,NS,Nova Scotia,45.651053,-64.056599,,,Springhill
CA,Westville,NS,Nova Scotia,45.55761,-62.711478,,,Westville
CA,Pictou,NS,Nova Scotia,45.680317,-62.705484,,,Pictou
CA,Windsor,NS,Nova Scotia,44.989112,-64.137718,,,Windsor
CA,Port Hawkesbury,NS,Nova Scotia,45.618477,-61.360132,,,Port Hawkesbury
CA,Wolfville,NS,Nova Scotia,45.087032,-64.355902,,,Wolfville
CA,Liverpool,NS,Nova Scotia,44.036255,-64.718972,,,Liverpool
CA,Sydney River,NS,Nova Scotia,46.097443,-60.226466,,,Sydney River
CA,Kingston,NS,Nova Scotia,44.98767,-64.952343,,,Kingston
CA,Trenton,NS,Nova Scotia,45.61673,-62.632673,,,Trenton
CA,Shubenacadie,NS,Nova Scotia,45.087367,-63.406758,,,Shubenacadie
CA,Enfield,NS,Nova Scotia,44.951539,-63.532686,,,Enfield
CA,Elmsdale,NS,Nova Scotia,44.967014,-63.504486,,,Elmsdale
CA,Dominion,NS,Nova Scotia,46.211922,-60.023562,,,Dominion
CA,Westmount,NS,Nova Scotia,46.137947,-60.218552,,,Westmount
CA,Berwick,NS,Nova Scotia,45.045524,-64.734149,,,Berwick
CA,Digby,NS,Nova Scotia,44.619461,-65.764455,,,Digby
CA,Shelburne,NS,Nova Scotia,43.762137,-65.316761,,,Shelburne
CA,Bras d'Or,NS,Nova Scotia,46.247916,-60.293895,,,Bras d'Or
CA,Reserve Mines,NS,Nova Scotia,46.183228,-60.012083,,,Reserve Mines
CA,Montague,PE,Prince Edward Island,46.166741,-62.650928,,,Montague
CA,Prospect,NS,Nova Scotia,44.469225,-63.788391,,,Prospect
CA,Middleton,NS,Nova Scotia,44.943143,-65.067497,,,Middleton
CA,Inverness,NS,Nova Scotia,46.229332,-61.304065,,,Inverness
